name,thumbnailUrl,rarity,team,position,pp,lp,diff,diff_p,sale,link
Cameron Brate,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_cameron_brate_20103_tb_core_thumbnail.png,Core,TB,TE,1.0,1.0,0.0,"(0.0,)",1.0,https://marketplace.draftkings.com/listings/collectibles/c99690ceaacf48cd9bc790c7493a6c19/editions/729
Tim Patrick,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_tim_patrick_18940_den_core_thumbnail.png,Core,DEN,WR,1.0,1.0,0.0,"(0.0,)",1.0,https://marketplace.draftkings.com/listings/collectibles/b21ff233003047479fea65c83bdff9d8/editions/1546
Hunter Henry,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_hunter_henry_19156_ne_core_thumbnail.png,Core,NE,TE,1.0,1.0,0.0,"(0.0,)",,https://marketplace.draftkings.com/listings/collectibles/9226257ba94c4f158680e21c0fb6f335/editions/1568
James Washington,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Elevate_Master/Thumbnails/set_Elevate2022_james_washington_18920_dal_core_thumbnail.png,Core,DAL,WR,1.0,1.0,0.0,"(0.0,)",1.0,https://marketplace.draftkings.com/listings/collectibles/6e527eed98714d0cac4510eda33801cf/editions/358
Giovani Bernard,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Elevate_Master/Thumbnails/set_Elevate2022_giovani_bernard_13370_tb_core_thumbnail.png,Core,TB,RB,1.0,1.0,0.0,"(0.0,)",1.0,https://marketplace.draftkings.com/listings/collectibles/eb864a7d927d4def9d80fe6f62ccc0ba/editions/752
James Washington,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Elevate_Master/Thumbnails/set_Elevate2022_james_washington_18920_dal_core_thumbnail.png,Core,DAL,WR,1.0,1.0,0.0,"(0.0,)",1.0,https://marketplace.draftkings.com/listings/collectibles/6e527eed98714d0cac4510eda33801cf/editions/372
James Washington,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Elevate_Master/Thumbnails/set_Elevate2022_james_washington_18920_dal_core_thumbnail.png,Core,DAL,WR,1.0,1.0,0.0,"(0.0,)",,https://marketplace.draftkings.com/listings/collectibles/6e527eed98714d0cac4510eda33801cf/editions/631
Matt Frevola,https://marketplace.draftkings.com/_assets/collectibles/assets/fd4db285-c57b-4bbc-b2b7-2e45f7a8c156.png,Core,UFC,,5.0,5.0,0.0,"(0.0,)",,https://marketplace.draftkings.com/listings/collectibles/2fb2463647a042acb283c1c5f4683124/editions/230
Carlos Ulberg,https://marketplace.draftkings.com/_assets/collectibles/assets/72f1f6ce-c068-4547-92a2-565b8411b185.png,Core,UFC,,6.98,6.5,-0.48,"(-6.88,)",,https://marketplace.draftkings.com/listings/collectibles/c3f9f83e930e45c98a580af2dc110995/editions/135
Greg Zuerlein,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_greg_zuerlein_14269_nyj_rare_thumbnail.png,Rare,NYJ,K,5.6,4.9,-0.7,"(-12.5,)",4.9,https://marketplace.draftkings.com/listings/collectibles/fa1c554f05b74815a1d0928ba3fc58bc/editions/224
Amanda Nunes,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_amanda_nunes_74894_rare_thumbnail.png,Rare,UFC,,40.0,39.0,-1.0,"(-2.5,)",,https://marketplace.draftkings.com/listings/collectibles/0a1f0bbe29e348b796b2e705a2f215f4/editions/101
Eli Mitchell,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_eli_mitchell_560890_sf_core_thumbnail.png,Core,SF,RB,2.0,1.0,-1.0,"(-50.0,)",2.2,https://marketplace.draftkings.com/listings/collectibles/e22fa4b72e784a67a6735604ac8d9aa2/editions/384
Robert Whittaker,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_robert__whittaker_202283_elite_thumbnail.png,Elite,UFC,,200.0,199.0,-1.0,"(-0.5,)",,https://marketplace.draftkings.com/listings/collectibles/5f674829647a44f989464738304ec0db/editions/14
Breece Hall,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Elevate_Master/Thumbnails/set_Elevate2022_breece_hall_631855_nyj_core_thumbnail.png,Core,NYJ,RB,3.0,1.74,-1.26,"(-42.0,)",,https://marketplace.draftkings.com/listings/collectibles/27f47d32a2c544589108cbbdd93a15b0/editions/2239
Jonathan Taylor,https://marketplace.draftkings.com/_assets/collectibles/assets/433a2bf1-19bc-4497-9f1c-a3f580c2f95d.png,Rare,IND,RB,41.5,39.99,-1.51,"(-3.64,)",46.0,https://marketplace.draftkings.com/listings/collectibles/869d0ba1d3f54252a430c4c95f89db68/editions/392
Noah Fant,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_noah_fant_18618_sea_core_thumbnail.png,Core,SEA,TE,3.5,1.0,-2.5,"(-71.43,)",1.0,https://marketplace.draftkings.com/listings/collectibles/1db5bcc4744847ceb85a1b79b793fdd3/editions/625
Jerry Jeudy,https://marketplace.draftkings.com/_assets/collectibles/assets/27903ba7-0732-45b5-904a-aef9843580f8.png,Core,DEN,WR,3.99,1.15,-2.84,"(-71.18,)",,https://marketplace.draftkings.com/listings/collectibles/f0c0c99797a040dcb080927f677c7be5/editions/2270
J.K. Dobbins,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_jk_dobbins_476830_bal_core_thumbnail.png,Core,BAL,RB,4.49,1.12,-3.37,"(-75.06,)",,https://marketplace.draftkings.com/listings/collectibles/73e29a98dd684e8390b29e52a59f0981/editions/415
Hayden Hurst,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_hayden_hurst_17156_cin_rare_thumbnail.png,Rare,CIN,TE,8.99,5.47,-3.52,"(-39.15,)",8.9,https://marketplace.draftkings.com/listings/collectibles/c8f4501983be4d68812ff0e02cd26a4c/editions/267
Jamison Crowder,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Elevate_Master/Thumbnails/set_Elevate2022_jamison_crowder_19484_buf_core_thumbnail.png,Core,BUF,WR,5.0,1.0,-4.0,"(-80.0,)",,https://marketplace.draftkings.com/listings/collectibles/4e5fb9d0d2364d91aa7b674873fa870a/editions/947
Jakobi Meyers,https://marketplace.draftkings.com/_assets/collectibles/assets/ca7a200d-1416-48cc-bf07-8559a0afd8ad.png,Rare,NE,WR,22.0,17.99,-4.01,"(-18.23,)",17.99,https://marketplace.draftkings.com/listings/collectibles/19e4c5c0b21541abb258a466c10ff145/editions/357
Trey Hendrickson,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_trey_hendrickson_18503_cin_rare_thumbnail.png,Rare,CIN,DEF,6.2,1.9,-4.3,"(-69.35,)",8.2,https://marketplace.draftkings.com/listings/collectibles/3e787ff34766455e9d69b35369e07e3d/editions/78
Jamison Crowder,https://marketplace.draftkings.com/_assets/Staging/Genesis_master/Thumbnails/set_summer2022_jamison_crowder_19484_core_thumbnail.png,Core,BUF,WR,5.49,1.0,-4.49,"(-81.79,)",,https://marketplace.draftkings.com/listings/collectibles/570cb27916744c0e87b75afdd39805ae/editions/507
Alex Pereira,https://marketplace.draftkings.com/_assets/collectibles/assets/dad2a7e5-e2b2-4607-9987-eff3601f5e4c.png,Elite,UFC,,185.0,180.0,-5.0,"(-2.7,)",240.0,https://marketplace.draftkings.com/listings/collectibles/61ca8d1df51d4a9aa60065f3af218818/editions/6
Renato Carneiro,https://marketplace.draftkings.com/_assets/collectibles/assets/a237dbbe-93c4-4629-a33e-a463c4d22203.png,Core,UFC,,11.5,6.5,-5.0,"(-43.48,)",,https://marketplace.draftkings.com/listings/collectibles/13bf044d570940798265d56c3c1f038a/editions/231
Carla Esparza,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_carla__esparza_202560_rare_thumbnail.png,Rare,UFC,,31.5,25.99,-5.51,"(-17.49,)",,https://marketplace.draftkings.com/listings/collectibles/56fd04fe6e3d4098a40be081b2eb6868/editions/119
Jameis Winston,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Prize_Master/Thumbnails/set_prizev12022_jameis_winston_20214_core_thumbnail.png,Core,NO,QB,7.75,2.12,-5.63,"(-72.65,)",9.5,https://marketplace.draftkings.com/listings/collectibles/14150c2a7bc74381807e7321dacd5c4d/editions/478
Claudio Puelles,https://marketplace.draftkings.com/_assets/collectibles/assets/75c8bc49-9b74-4e8b-9a0e-91f6814cde99.png,Core,UFC,,9.98,2.5,-7.48,"(-74.95,)",,https://marketplace.draftkings.com/listings/collectibles/9791856101b540a0853735e250bddb03/editions/93
Courtland Sutton,https://marketplace.draftkings.com/_assets/collectibles/assets/16146213-7f7f-4248-bda6-72a17c84c722.png,Rare,DEN,WR,22.0,13.5,-8.5,"(-38.64,)",14.5,https://marketplace.draftkings.com/listings/collectibles/0881daabb1324a06be693c0f81796c0d/editions/563
Alex Pereira,https://marketplace.draftkings.com/_assets/collectibles/assets/dad2a7e5-e2b2-4607-9987-eff3601f5e4c.png,Elite,UFC,,189.0,180.0,-9.0,"(-4.76,)",,https://marketplace.draftkings.com/listings/collectibles/61ca8d1df51d4a9aa60065f3af218818/editions/32
Glover Teixeira,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_glover__teixeira_202220_rare_thumbnail.png,Rare,UFC,,42.0,29.0,-13.0,"(-30.95,)",,https://marketplace.draftkings.com/listings/collectibles/cf21edee1277428a80da2f17e91aef7f/editions/156
Rose Namajunas,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_rose_namajunas_202566_elite_thumbnail.png,Elite,UFC,,150.0,135.51,-14.49,"(-9.66,)",,https://marketplace.draftkings.com/listings/collectibles/d37eca77a2544a0dbcb8264b3ef45152/editions/39
Joe Mixon,https://marketplace.draftkings.com/_assets/collectibles/assets/cd5465f9-d3f4-4c03-8962-5a99a3d59502.png,Rare,CIN,RB,54.0,35.0,-19.0,"(-35.19,)",,https://marketplace.draftkings.com/listings/collectibles/b019c3d083ba4ebdb37f677d26e852f5/editions/173
Andre Petroski,https://marketplace.draftkings.com/_assets/collectibles/assets/3acfb67e-ab23-448b-b593-4555ccd5941c.png,Core,UFC,,27.99,7.99,-20.0,"(-71.45,)",,https://marketplace.draftkings.com/listings/collectibles/d9c2ee2ee5e44fa0a10983fd0d289cb8/editions/178
Joe Mixon,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_joe_mixon_13893_cin_rare_thumbnail.png,Rare,CIN,RB,54.0,30.0,-24.0,"(-44.44,)",36.0,https://marketplace.draftkings.com/listings/collectibles/dd59fda08cc841db926b3c905fed27de/editions/254
Chase Edmonds,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Elevate_Master/Thumbnails/set_Elevate2022_chase_edmonds_17682_mia_rare_thumbnail.png,Rare,DEN,RB,32.0,2.0,-30.0,"(-93.75,)",4.0,https://marketplace.draftkings.com/listings/collectibles/1ee1e7a0ec03496facc3c63f3f417fdd/editions/171
J.K. Dobbins,https://marketplace.draftkings.com/_assets/Staging/NFL_Booster_Master/Thumbnails/set_Booster2022_jk_dobbins_476830_bal_rare_thumbnail.png,Rare,BAL,RB,39.98,6.5,-33.48,"(-83.74,)",,https://marketplace.draftkings.com/listings/collectibles/d1a88ee40b784bc486d06902429c67c5/editions/262
