name,thumbnailUrl,rarity,team,position,pp,lp,diff,diff_p,sale,link
Rose Namajunas,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_rose_namajunas_202566_elite_thumbnail.png,Elite,UFC,,115.0,135.51,20.51,"(17.83,)",,https://marketplace.draftkings.com/listings/collectibles/d37eca77a2544a0dbcb8264b3ef45152/editions/28
Dustin Poirier,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_dustin_poirier_201880_elite_thumbnail.png,Elite,UFC,,160.0,180.0,20.0,"(12.5,)",210.0,https://marketplace.draftkings.com/listings/collectibles/b7ffd7a924da4d638e3b8180ae2ec078/editions/6
Sean O'Malley,https://marketplace.draftkings.com/_assets/collectibles/assets/422fb0b2-f5fb-4aed-9ba5-6f2c7727c402.png,Rare,UFC,,30.0,46.99,16.99,"(56.63,)",,https://marketplace.draftkings.com/listings/collectibles/1bccdad689da46a682e750b3e8388d90/editions/182
Kai-Kara France,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_kai-kara_france_74901_rare_thumbnail.png,Rare,UFC,,24.99,39.99,15.0,"(60.02,)",,https://marketplace.draftkings.com/listings/collectibles/13461a5e3b7e41db8c413fc9303e4321/editions/171
Drakkar Klose,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatwaveR2_07-21-22/Thumbnails/set_summer2022_drakkar_klose_202782_elite_thumbnail.png,Elite,UFC,,100.0,114.0,14.0,"(14.0,)",155.0,https://marketplace.draftkings.com/listings/collectibles/0df7ca9b1cb84d96b8ae2ab56ba24959/editions/4
Marcin Tybura,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_marcin__tybura_202699_elite_thumbnail.png,Elite,UFC,,125.0,139.0,14.0,"(11.2,)",,https://marketplace.draftkings.com/listings/collectibles/737107dc901f48bd9698b43d6b8725e7/editions/17
Sean O'Malley,https://marketplace.draftkings.com/_assets/collectibles/assets/422fb0b2-f5fb-4aed-9ba5-6f2c7727c402.png,Rare,UFC,,33.0,46.99,13.99,"(42.39,)",,https://marketplace.draftkings.com/listings/collectibles/1bccdad689da46a682e750b3e8388d90/editions/111
TJ Dillashaw,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_tj_dillashaw_202161_elite_thumbnail.png,Elite,UFC,,82.5,96.0,13.5,"(16.36,)",,https://marketplace.draftkings.com/listings/collectibles/ba43f1f29f4944a3aa5603cc06479a26/editions/24
TJ Dillashaw,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_tj_dillashaw_202161_elite_thumbnail.png,Elite,UFC,,84.98,96.0,11.02,"(12.97,)",,https://marketplace.draftkings.com/listings/collectibles/ba43f1f29f4944a3aa5603cc06479a26/editions/45
Alexandr Romanov,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_alexandr__romanov_476676_rare_thumbnail.png,Rare,UFC,,24.0,34.99,10.99,"(45.79,)",,https://marketplace.draftkings.com/listings/collectibles/a715e48d4426439dbfcb6ef7c450a9c1/editions/159
Alexandr Romanov,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_alexandr__romanov_476676_rare_thumbnail.png,Rare,UFC,,24.25,34.99,10.74,"(44.29,)",,https://marketplace.draftkings.com/listings/collectibles/a715e48d4426439dbfcb6ef7c450a9c1/editions/99
Leon Edwards,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_leon_edwards_202552_elite_thumbnail.png,Elite,UFC,,169.69,180.0,10.31,"(6.08,)",180.0,https://marketplace.draftkings.com/listings/collectibles/173f9622baf94922867b1d491c6c8c38/editions/45
